Name,Year,Date,Comp,Age,Event,Location,Place,Round,Time,Time_sec,Partner
EN,2015,15/3/15,Nationals,U16,MK1 1000m,SIRC,6,Final,04:07.4,247.4,
EN,2015,15/3/15,Nationals,U16,MK1 200m,SIRC,5,Final,00:43.2,43.2,
EN,2015,15/3/15,Nationals,U16,MK1 500m,SIRC,8,Final,01:57.5,117.5,
EN,2015,15/3/15,Nationals,U16,MK2 1000m,SIRC,3,Final,03:50.3,230.3,Liam Farrell
EN,2015,15/3/15,Nationals,U16,MK2 200m,SIRC,3,Final,00:41.0,41,Liam Farrell
EN,2015,15/3/15,Nationals,U16,MK2 500m,SIRC,4,Final,01:53.6,113.6,Liam Farrell
EN,2016,6/3/16,Nationals,U18,MK1 1000m,Perth,3,B Final,03:53.4,233.4,
EN,2016,5/3/16,Nationals,U18,MK1 1000m,Perth,4,Semi-Final,03:53.0,233,
EN,2016,28/7/16,World Champs,U18,MK1 200m,Belarus,7,C Final,00:39.5,39.5,
EN,2016,6/3/16,Nationals,U18,MK1 200m,Perth,2,Final,00:38.6,38.6,
EN,2016,27/7/16,World Champs,U18,MK1 200m,Belarus,5,Heat,00:38.6,38.6,
EN,2016,6/3/16,Nationals,U18,MK2 1000m,Perth,7,Final,03:37.2,217.2,Liam Farrell
EN,2016,4/3/16,Nationals,U18,MK2 1000m,Perth,4,Heat,03:32.7,212.7,Liam Farrell
EN,2016,6/3/16,Nationals,U18,MK2 200m,Perth,7,Final,00:39.6,39.6,Liam Farrell
EN,2017,10/3/17,Nationals,U18,MK1 200m,SIRC,1,Final,00:37.6,37.6,
EN,2017,10/3/17,Nationals,U18,MK1 500m,SIRC,5,Final,01:53.0,113,
EN,2017,9/3/17,Nationals,U18,MK1 500m,SIRC,3,Semi-Final,01:48.1,108.1,
EN,2017,10/3/17,Nationals,U18,MK2 200m,SIRC,2,Final,00:36.8,36.8,Dodge Newton
EN,2017,10/3/17,Nationals,U18,MK2 500m,SIRC,2,Final,01:42.8,102.8,Liam Farrell
EN,2018,10/3/18,Nationals,U23,MK1 200m,SIRC,5,Final,00:36.1,36.1,
EN,2018,10/3/18,Nationals,U23,MK2 500m,SIRC,6,B Final,01:40.5,100.5,Liam Farrell
EN,2018,6/3/18,Nationals,U23,MK2 500m,SIRC,4,Heat,01:40.1,100.1,Liam Farrell
EN,2019,10/3/19,Nationals,U23,MK1 200m,Perth,4,Final,00:36.9,36.9,
EN,2019,9/3/19,Nationals,U23,MK1 500m,Perth,7,Semi-Final,01:46.1,106.1,
EN,2019,10/3/19,Nationals,U23,MK2 200m,Perth,7,Final,00:36.7,36.7,Nick Dawe
EN,2019,9/3/19,Nationals,U23,MK2 200m,Perth,5,Semi-Final,00:35.1,35.1,Nick Dawe
EN,2019,10/3/19,Nationals,U23,MK2 500m,Perth,7,B Final,01:39.4,99.4,Nick Dawe
EN,2020,16/3/20,Nationals,U23,MK1 200m,SIRC,2,Final,00:35.8,35.8,
EN,2020,16/3/20,Nationals,U23,MK1 500m,SIRC,7,B Final,01:47.0,107,
EN,2020,15/3/20,Nationals,U23,MK2 1000m,SIRC,4,Semi-Final,03:33.0,213,Nick Dawe
EN,2020,16/3/20,Nationals,U23,MK2 200m,SIRC,4,Final,00:35.1,35.1,Nick Dawe
FA,2020,16/3/20,Nationals,U18,MK1 1000m,SIRC,1,Final,03:45.3,225.3,
FA,2020,16/3/20,Nationals,U18,MK1 200m,SIRC,2,Final,00:38.5,38.5,
FA,2020,16/3/20,Nationals,U18,MK1 500m,SIRC,1,Final,01:46.1,106.1,
FA,2020,16/3/20,Nationals,U18,MK2 1000m,SIRC,1,Final,03:30.7,210.7,Jarrah Sheppard
FA,2020,16/3/20,Nationals,U18,MK2 200m,SIRC,1,Final,00:35.9,35.9,Jarrah Sheppard
FA,2020,16/3/20,Nationals,U18,MK2 500m,SIRC,1,Final,01:39.8,99.8,Jarrah Sheppard
FC,2020,16/3/20,Nationals,U23,MK1 1000m,SIRC,4,B Final,03:47.5,227.5,
FC,2020,16/3/20,Nationals,U23,MK1 200m,SIRC,7,Final,00:37.6,37.6,
FC,2020,16/3/20,Nationals,U23,MK1 500m,SIRC,8,B Final,01:47.1,107.1,
FC,2020,15/3/20,Nationals,U23,MK2 1000m,SIRC,7,Semi-Final,03:37.8,217.8,Sam Hutchinson
GS,2020,16/3/20,Nationals,U23,WK1 200m,SIRC,4,Final,00:42.4,42.4,
GS,2020,16/3/20,Nationals,U23,WK1 500m,SIRC,4,B Final,02:00.7,120.7,
GS,2020,16/3/20,Nationals,U23,WK2 200m,SIRC,4,Final,00:42.4,42.4,Jemma Smith
GS,2020,16/3/20,Nationals,U23,WK2 500m,SIRC,7,Final,01:51.7,111.7,Jemma Smith
HM,2014,30/3/14,Nationals,Open,WK1 200m,Adelaide,1,B Final,00:46.9,46.9,
HM,2014,29/3/14,Nationals,Open,WK1 200m,Adelaide,4,Semi-Final,00:46.6,46.6,
HM,2014,30/3/14,Nationals,Open,WK1 500m,Adelaide,9,Final,02:04.2,124.2,
HM,2014,29/3/14,Nationals,Open,WK1 500m,Adelaide,3,Semi-Final,02:02.3,122.3,
HM,2014,30/3/14,Nationals,Open,WK2 200m,Adelaide,8,Final,00:46.7,46.7,Allison Bryant
HM,2014,30/3/14,Nationals,Open,WK2 500m,Adelaide,6,Final,01:54.4,114.4,Allison Bryant
HM,2015,15/3/15,Nationals,Open,WK1 500m,SIRC,8,Final,01:55.3,115.3,
HM,2015,15/3/15,Nationals,Open,WK2 500m,SIRC,3,Final,01:47.7,107.7,Cat McArthur
HM,2016,6/3/16,Nationals,Open,WK1 200m,Perth,5,Final,00:42.6,42.6,
HM,2016,6/3/16,Nationals,Open,WK1 500m,Perth,7,Final,01:55.7,115.7,
HM,2016,4/3/16,Nationals,Open,WK1 500m,Perth,3,Heat,01:54.8,114.8,
HM,2017,10/3/17,Nationals,Open,WK1 200m,SIRC,6,Final,00:44.4,44.4,
HM,2017,10/3/17,Nationals,Open,WK1 500m,SIRC,1,B Final,02:03.3,123.3,
HM,2017,10/3/17,Nationals,Open,WK2 500m,SIRC,3,Final,01:49.9,109.9,Jo Brigden-Jones
JB,2012,18/3/12,Nationals,Open,WK1 200m,SIRC,3,Final,00:41.9,41.9,
JB,2012,16/3/12,Nationals,Open,WK1 500m,SIRC,7,Final,01:55.0,115,
JB,2012,18/3/12,Nationals,Open,WK2 200m,SIRC,2,Final,00:39.3,39.3,Hannah Davis
JB,2013,6/4/13,Nationals,Open,WK1 200m,Perth,1,Final,00:41.9,41.9,
JB,2013,5/4/13,Nationals,Open,WK1 200m,Perth,1,Semi-Final,00:41.0,41,
JB,2013,7/4/13,Nationals,Open,WK1 500m,Perth,3,Final,02:02.1,122.1,
JB,2013,7/4/13,Nationals,Open,WK2 200m,Perth,1,Final,00:40.5,40.5,Hannah Davis
JB,2013,7/4/13,Nationals,Open,WK2 500m,Perth,2,Final,01:54.3,114.3,Hannah Davis
JB,2014,6/8/14,World Champs,Open,WK1 200m,Russia,6,B Final,00:40.8,40.8,
JB,2014,30/3/14,Nationals,Open,WK1 200m,Adelaide,1,Final,00:42.9,42.9,
JB,2014,28/3/14,Nationals,Open,WK1 200m,Adelaide,1,Heat,00:42.4,42.4,
JB,2014,5/8/14,World Champs,Open,WK1 200m,Russia,4,Semi-Final,00:40.0,40,
JB,2014,30/3/14,Nationals,Open,WK1 500m,Adelaide,3,Final,01:56.7,116.7,
JB,2014,30/3/14,Nationals,Open,WK2 200m,Adelaide,1,Final,00:42.1,42.1,Hannah Davis
JB,2014,6/8/14,World Champs,Open,WK2 500m,Russia,7,Final,01:42.9,102.9,Naomi Flood
JB,2014,30/3/14,Nationals,Open,WK2 500m,Adelaide,1,Final,01:45.9,105.9,Naomi Flood
JB,2014,5/8/14,World Champs,Open,WK2 500m,Russia,3,Semi-Final,01:41.5,101.5,Naomi Flood
JB,2015,15/3/15,Nationals,Open,WK1 200m,SIRC,2,Final,00:40.9,40.9,
JB,2015,15/3/15,Nationals,Open,WK1 500m,SIRC,4,Final,01:51.3,111.3,
JB,2015,15/3/15,Nationals,Open,WK2 200m,SIRC,1,Final,00:38.2,38.2,Alana Nicholls
JB,2016,6/3/16,Nationals,Open,WK1 200m,Perth,1,Final,00:40.8,40.8,
JB,2016,6/3/16,Nationals,Open,WK1 500m,Perth,2,Final,01:48.6,108.6,
JB,2016,6/3/16,Nationals,Open,WK2 500m,Perth,2,Final,01:41.7,101.7,Naomi Flood
JB,2016,4/3/16,Nationals,Open,WK2 500m,Perth,1,Heat,01:40.7,100.7,Naomi Flood
JB,2017,23/8/17,World Champs,Open,WK1 200m,Czech Republic,8,B Final,00:42.0,42,
JB,2017,10/3/17,Nationals,Open,WK1 200m,SIRC,2,Final,00:43.1,43.1,
